,class,language,question
892,LOCATION,es,"¿Dónde se produjo el accidente del petrolero ""Mar Egeo""?"
893,LOCATION,it,"Dove avvenne l'incidente della petroliera ""Aegeum Sea""?"
894,LOCATION,nl,"Waar vond het ongeluk met de olitanker ""Mar Egeo"" plaats?"
895,LOCATION,en,"Where did the accident of the oil tanker ""Mar Egeo"" take place?"
896,OTHER,es,"¿De qué bandera era el petrolero ""Mar Egeo""?"
897,OTHER,it,"Che bandiera batteva la petroliera ""Aegeum Sea""?"
898,OTHER,nl,"Onder welke vlag voer de olietanker ""Egeïsche Zee""?"
899,OTHER,en,"Under what flag did the oil tanker ""Aegean Sea"" sail?"
900,MEASURE,es,"¿Cuánto petróleo se vertió en el accidente del petrolero ""Mar Egeo""?"
901,MEASURE,it,"Quanto petrolio si è rovesciato nell'incidente della petroliera ""Aegeum Sea""?"
902,MEASURE,nl,"Hoeveel olie werd gelekt bij het ongeluk met de olietanker ""Egeïsche Zee""?"
903,MEASURE,en,"How much oil was spilled in the accident of the oil tanker ""Aegean Sea""?"
904,MEASURE,es,"¿En cuantó se estimó el daño causado por el accidente del petrolero ""Mar Egeo""?"
905,MEASURE,it,"Quanto è stato stimato il danno causato dall'incidente della petroliera ""Aegeum Sea""?"
906,MEASURE,nl,"Wat was de geschatte schade door het ongeluk met de ""Egeïsche Zee""?"
907,MEASURE,en,"How much was the estimated damage caused by the accident of the oil tanker ""Aegean Sea""?"
908,ORGANIZATION,es,"¿Quién pagó las indeminizaciones por el accidente del petrolero ""Mar Egeo""?"
909,ORGANIZATION,it,"Chi pagò il risarcimento per l'incidente della petroliera ""Aegeum Sea""?"
910,ORGANIZATION,nl,"Wie vergoedde de schade door het ongeval met de olietanker ""Egeïsche Zee""?"
911,ORGANIZATION,en,"Who paid the indemnities for the accident of the oil tanker ""Aegean Sea""?"
912,ORGANIZATION,es,"¿Quién se personó como acusación en el juicio por el accidente del petrolero ""Mar Egeo""?"
913,ORGANIZATION,it,"Chi rappresentava l'accusa al processo per il disastro della petroliera ""Aegeum Sea""?"
914,ORGANIZATION,nl,"Wie was de officier van justitie in de rechtszaak om het ongeluk met de ""Egeïsche Zee""?"
915,ORGANIZATION,en,"Who was the prosecuting attorney at the trial for the accident of the oil tanker ""Aegean Sea""?"
916,ORGANIZATION,es,¿Cuáles son las siglas del Fondo Mundial para la Protección de la Naturaleza?
917,ORGANIZATION,it,Qual è la sigla che indica il Fondo Mondiale per la salvaguardia della Natura?
918,ORGANIZATION,nl,Wat is de afkorting voor het Wereld Natuur Fonds?
919,ORGANIZATION,en,"What is the abbreviation for the ""World Wildlife Fund""?"
920,MEASURE,es,¿Cuántos países forman parte de la Comisión Ballenera Internacional (CBI)?
921,MEASURE,it,Quanti Paesi fanno parte della Commissione Internazionale per la caccia alla Balena?
922,MEASURE,nl,Hoeveel landen zijn lid van de Internationale Walvisvaart Commissie?
923,MEASURE,en,How many countries form part of the International Whaling Commission?
924,LOCATION,es,¿Sobre qué continente se detectó el agujero de ozono?
925,LOCATION,it,Sopra quale continente è stato individuato il buco dell'ozono?
926,LOCATION,nl,Boven welk werelddeel werd een gat in de ozonlaag ontdekt?
927,LOCATION,en,Above what continent was the ozone hole detected?
928,LOCATION,es,¿Dónde se celebró la asamblea anual de la Comisión Ballenera Internacional?
929,LOCATION,it,Dove si è tenuto il meeting annuale della Commissione per la caccia alla Balena?
930,LOCATION,nl,Waar vond de algemene vergadering van de Internationale Walvisvaart Commissie plaats?
931,LOCATION,en,Where did the annual meeting of the International Whaling Commission take place?
932,DATE,es,¿En qué año se creó el Banco Mundial?
933,DATE,it,In quale anno è stata creata la Banca Mondiale?
934,DATE,nl,In welk jaar vond de oprichting van de Wereldbank plaats?
935,DATE,en,What year was the World Bank created?
936,DATE,es,¿En qué año se creo el Fondo Monetario Internacional?
937,DATE,it,In che anno è stato fondato il Fondo Monetario Internazionale?
938,DATE,nl,In welk jaar vond de oprichting van het Internationale Monetaire Fonds plaats?
939,DATE,en,What year was the International Monetary Fund created?
940,MEASURE,es,¿Cuantos países forman parte del FMI?
941,MEASURE,it,Quanti paesi fanno parte del FMI?
942,MEASURE,nl,Hoeveel leeden heeft het IMF?
943,MEASURE,en,How many countries form part of the IMF?
944,PERSON,es,¿Quién es el presidente de Perú?
945,PERSON,it,Chi è il Presidente del Perù?
946,PERSON,nl,Wie is de president van Peru?
947,PERSON,en,Who is the president of Peru?
948,OTHER,es,¿En qué conferencia se crearon el BM y el FMI?
949,OTHER,it,A quale conferenza vennero create la BM e il FMI?
950,OTHER,nl,Bij welke conferentie werden de Wereldbank en het IMF opgericht?
951,OTHER,en,At what conference were the WB and the IMF created?
952,OTHER,es,¿Cuál es la moneda de Vietnam?
953,OTHER,it,Qual è la moneta usata in Vietnam?
954,OTHER,nl,Wat is de Vietnamese munt?
955,OTHER,en,What is the currency of Vietnam?
956,PERSON,es,¿Quién es el autor del Plan Brady?
957,PERSON,it,Chi è l'autore del Piano Brady?
958,PERSON,nl,Wie is de bedenker van de Brady-overeenkomst?
959,PERSON,en,Who is the author of the Brady Plan?
960,OTHER,es,¿Que cargo tenía Brady en el Tesoro de Estados Unidos?
961,OTHER,it,Qual era la carica che Brady ricopriva al Ministero del Tesoro degli Stati Uniti?
962,OTHER,nl,Welke rol vervuld Brady by het Amerikaanse ministerie van financiën?
963,OTHER,en,What office did Brady hold in the U.S. Treasury?
964,ORGANIZATION,es,¿Qué empresa fundó Nicholas Brady?
965,ORGANIZATION,it,Quale compagnia ha fondato Nicholas Brady?
966,ORGANIZATION,nl,Welk bedrijf is door Nicholas Brady opgericht?
967,ORGANIZATION,en,What company did Nicholas Brady found?
968,PERSON,es,¿A qué presidente peruano se le acusó de soborno en la concesión de las obras de un tren?
969,PERSON,it,Quale presidente peruviano fu accusato di corruzione nell'appalto per la costruzione di una ferrovia?
970,PERSON,nl,Welke Peruaanse president werd beschuldigd van omkomping in het toekennen van een spoorwegbouwcontract?
971,PERSON,en,What Peruvian president was accused of bribery in the awarding of a railway construction contract?
972,PERSON,es,¿Qué ex ministro francés fue encarcelado por corrupción?
973,PERSON,it,Quale ex presidente francese è stato incarcerato per corruzione?
974,PERSON,nl,Welke Franse ex-minister werd tot een gevangenisstraf veroordeeld wegens corruptie?
975,PERSON,en,What French ex-minister was sent to prison for corruption?
976,DATE,es,"¿Qué día presentó su dimisión el ministro de Agricultura, Pesca y Alimentación de España, Vicente Albero?"
977,DATE,it,"In quale giorno Vicente Alberto, presidente spagnolo dell'agricoltura, della pesca e dell'alimentazione, ha presentato le proprie dimissioni?"
978,DATE,nl,"Op welke datum trad Vicente Albero, de Spaanse minister van landbouw, af?"
979,DATE,en,"On what day did Vicente Albero, Spanish Minister of Agriculture, Fisheries and Food, resign?"
980,DATE,es,¿Qué día aprobó el parlamento español la creación de una fiscalia especial contra la corrupción?
981,DATE,it,In quale giorno venne approvato dal Parlamento Spagnolo un progetto di legge per la creazione di un ufficio contro la corruzione?
982,DATE,nl,Op welke datum nam het Spaanse parlement een wet ter bestrijding van corruptie aan?
983,DATE,en,On what day did the Spanish Parliament pass a bill for the creation of a special prosecutor's office to fight against corruption?
984,PERSON,es,¿A que primer ministro abrió la Fiscalía de Milán un sumario por corrupción?
985,PERSON,it,Quale Primo Ministro ricevette un avviso di garanzia per corruzione da parte della Procura di Milano?
986,PERSON,nl,Tegen welke premier is een onderzoek naar corruptie ingesteld?
987,PERSON,en,What Prime Minister was issued an indictment for corruption by the prosecutor's office in Milan?
988,DATE,es,¿Qué día se abrió un sumario judicial a Silvio Berlusconi por los sobornos a la policia fiscal?
989,DATE,it,In quale giorno Silvio Berlusconi ricevette un avviso di garanzia per la corruzione di agenti del Tesoro?
990,DATE,nl,Op welke datum werd tegen Silvio Berlusconi een onderzoek ingesteld op verdenking van medeplichtigheid aan corruptie?
991,DATE,en,On what day was Silvio Berlusconi issued an indictment for bribing Treasury agents?
992,DATE,es,¿Qué día presentó su dimisión el fiscal de Milán Antonio Di Pietro?
993,DATE,it,"In quale giorno il procuratore di Milano, Antonio di Pietro, diede le dimissioni?"
994,DATE,nl,"Op welke datum stapte de onderzoeksrechter van Milaan, Antonio Di Pietro, uit de rechterlijke macht?"
995,DATE,en,"On what day did the public prosecutor of Milan, Antonio di Pietro, resign?"
996,OBJECT,es,¿Qué submarino nuclear francés sufrió un accidente?
997,OBJECT,it,Quale sottomarino nucleare francese ha avuto un incidente?
998,OBJECT,nl,Met welke Franse kernonderzeeër had een ongeluk plaats?
999,OBJECT,en,What French nuclear submarine had an accident?
1000,MEASURE,es,¿Cuántos tripulantes murieron en el submarino Emeraude?
1001,MEASURE,it,"Quanti membri dell'equipaggio sono morti nel disastro del sottomarino ""Emeraude""?"
1002,MEASURE,nl,"Hoeveel opvarenden kwamen om het leven aan boord van de onderzeeër ""Emeraud""?"
1003,MEASURE,en,"How many crew members died on the submarine ""Emeraude""?"
1004,DATE,es,¿Cuándo ocurrió la catástrofe de Chernobil?
1005,DATE,it,Quando avvenne il disastro di Chernobyl?
1006,DATE,nl,Wanneer vond de ramp in Tsjernobyl plaats?
1007,DATE,en,When did the Chernobyl disaster take place?
1008,MEASURE,es,¿En cuántos países se dividió la URSS?
1009,MEASURE,it,In quanti paesi era divisa l'URSS?
1010,MEASURE,nl,In hoeveel landen werd de voormalige Sovjet-Unie verdeeld?
1011,MEASURE,en,How many countries was the USSR divided into?
1012,MEASURE,es,¿Cuántas personas se estima que morirán a causa de la catástrofe de Chernobil?
1013,MEASURE,it,Quante persone si stima che moriranno a causa del disastro di Chernobyl?
1014,MEASURE,nl,Hoeveel mensen zullen sterven als een gevolg van Tsjernobyl?
1015,MEASURE,en,How many people is it estimated will die as a result of the Chernobyl disaster?
1016,MEASURE,es,¿Cuál es la tasa de suicidios en el mundo?
1017,MEASURE,it,Qual è la percentuale di suicidi nel mondo?
1018,MEASURE,nl,Welk deel van de wereldbevolking pleegt zelfmoord?
1019,MEASURE,en,What is the world suicide rate?
1020,MEASURE,es,¿Cuánto mide el Everest?
1021,MEASURE,it,Quanto è alto il monte Everest?
1022,MEASURE,nl,Hoe hoog is de Mount Everest?
1023,MEASURE,en,How high is the Everest?
1024,ORGANIZATION,es,¿Qué significa OLP?
1025,ORGANIZATION,it,Cosa significa la sigla OLP?
1026,ORGANIZATION,nl,Waar staat PLO voor?
1027,ORGANIZATION,en,What does PLO stand for?
1028,MEASURE,es,"¿Cuántos países asistieron a la conferencia ""MED 21""?"
1029,MEASURE,it,"Quanti paesi hanno partecipato alla conferenza ""MED 21""?"
1030,MEASURE,nl,"Hoeveel landen woonden de ""MED 21"" conferentie bij?"
1031,MEASURE,en,"How many countries attended the ""MED 21"" conference?"
1032,PERSON,es,¿Quién es el presidente de la Autoridad Nacional Palestina?
1033,PERSON,it,Chi è il presidente dell'Autorità Nazionale Palestinese?
1034,PERSON,nl,Wie is de voorzitter van de Palestijnse Nationale Autoriteit?
1035,PERSON,en,Who is the president of the Palestinian National Authority?
1036,DATE,es,¿Qué día comenzó la intifada?
1037,DATE,it,In quale giorno è iniziata la Intifada?
1038,DATE,nl,Wanneer is de intifada uitgebroken?
1039,DATE,en,What day did the Intifada begin?
1040,ORGANIZATION,es,¿Qué empresa británica pertenece al consorcio Airbus?
1041,ORGANIZATION,it,Quale compagnia britannica appartiene al consortium Airbus?
1042,ORGANIZATION,nl,Welk Brits bedrijf neemt deel uit van Airbus?
1043,ORGANIZATION,en,What British company belongs to the Airbus consortium?
1044,MEASURE,es,¿Cuántas personas murieron en el accidente de un Airbus en el aeropuerto de Nagoya?
1045,MEASURE,it,Quante persone sono morte nell'incidente dell'Airbus all'aeroporto di Nagoya?
1046,MEASURE,nl,Hoeveel mensen kwamen om bij het verongelukken van een Airbus bij de luchthaven van Nagoya?
1047,MEASURE,en,How many people died in the Airbus accident at the Nagoya airport?
1048,MEASURE,es,¿Cuántos habitantes hay en el mundo?
1049,MEASURE,it,A quanto ammonta la popolazione mondiale?
1050,MEASURE,nl,Hoeveel mensen telt de wereldbevolking?
1051,MEASURE,en,What is the world population?
1052,DATE,es,¿Cuándo se fundó la Internacional Socialista?
1053,DATE,it,Quando venne fondata l'Internazionale Socialista?
1054,DATE,nl,Wanneer is de Socialistische Internationale opgericht?
1055,DATE,en,When was the International Socialist Organization founded?
1056,OTHER,es,¿Qué premio Nobel fue concedido a Willy Brandt?
1057,OTHER,it,Con quale Nobel venne premiato Willy Brandt?
1058,OTHER,nl,Welke Nobelprijs werd uitgereikt aan Willy Brandt?
1059,OTHER,en,What Nobel Prize was Willy Brandt awarded?
1060,LOCATION,es,¿Dónde se celebraron los Juegos Olímpicos de 1996?
1061,LOCATION,it,Dove si svolgeranno le Olimpiadi nel 1996?
1062,LOCATION,nl,Waar vonden de Olympische Spelen in 1996 plaats?
1063,LOCATION,en,Where did the 1996 Olympic Games take place?
1064,OTHER,es,¿De qué nacionalidad es el pintor Piet Mondrian?
1065,OTHER,it,Di quale nazionalità è il pittore Piet Mondrian?
1066,OTHER,nl,Uit welk land is Piet Mondriaan afkomstig?
1067,OTHER,en,What country is the painter Piet Mondrian from?
1068,LOCATION,es,¿En que ciudad está el Museo del Prado?
1069,LOCATION,it,In quale città si trova il Museo del Prado?
1070,LOCATION,nl,In welke stad is het Prado Museum?
1071,LOCATION,en,What city is the Prado Museum in?
1072,MEASURE,es,"¿Cuánto se pagó por el grabado ""La femme qui pleure I"" del pintor español Pablo Picasso?"
1073,MEASURE,it,"Quanto è stata pagata ""La Femme qui Pleure I"", un'incisione del pittore spagnolo Pablo Picasso?"
1074,MEASURE,nl,"Hoeveel werd betaald voor ""Huilende Vrouw"", een gravure van de Spaanse schilder Pablo Picasso?"
1075,MEASURE,en,"How much was paid for ""La Femme qui Pleure I"", an engraving by the Spanish painter Pablo Picasso?"
1076,LOCATION,es,¿En qué ciudad está Broadway?
1077,LOCATION,it,In quale città si trova Broadway?
1078,LOCATION,nl,"In welke stad is ""Broadway""?"
1079,LOCATION,en,"What city is ""Broadway"" in?"
1080,PERSON,es,"¿Cuál era el verdadero nombre del presidente yugoslavo ""Tito""?"
1081,PERSON,it,"Qual era il vero nome del presidente Yugoslavo ""Tito""?"
1082,PERSON,nl,"Wat was de volledige naam van de Joegoslavische president ""Tito""?"
1083,PERSON,en,"What was the real name of the Yugoslavian president ""Tito""?"
1084,LOCATION,es,¿Cuál es la capital de Croacia?
1085,LOCATION,it,Qual è la capitale della Croazia?
1086,LOCATION,nl,Wat is de hoofdstad van Kroatië?
1087,LOCATION,en,What is the capital of Croatia?
1088,MEASURE,es,¿Cuántos habitantes tiene Bélgica?
1089,MEASURE,it,A quanto ammonta la popolazione del Belgio?
1090,MEASURE,nl,Hoeveel inwoners telt België?
1091,MEASURE,en,What is the population of Belgium?
1092,LOCATION,es,¿Qué país es el mayor consumidor de alcohol?
1093,LOCATION,it,In quale paese si registra il maggior consumo di alcool?
1094,LOCATION,nl,Welk land heeft de hoogste alcoholconsumptie?
1095,LOCATION,en,What country is the largest consumer of alcohol?
1096,LOCATION,es,¿En qué país está Tegucigalpa?
1097,LOCATION,it,In quale Paese si trova Tegucigalpa?
1098,LOCATION,nl,In welk land ligt Tegucigalpa?
1099,LOCATION,en,What country is Tegucigalpa in?
1100,PERSON,es,"¿Quién es el autor de ""El lago de los Cisnes""?"
1101,PERSON,it,"Chi è l'autore de ""Il Lago dei Cigni""?"
1102,PERSON,nl,"Wie is de componist van ""Het Zwanenmeer""?"
1103,PERSON,en,"Who is the author of ""Swan Lake""?"
1104,DATE,es,¿Cuándo se otorgó el primer premio Nobel?
1105,DATE,it,Quando è stato conferito il primo Premio Nobel?
1106,DATE,nl,Wanneer werd de eerste Nobelprijs uitgereikt?
1107,DATE,en,When was the first Nobel Prize awarded?
1108,PERSON,es,¿Quién fue el presidente de los EEUU durante la Segunda Guerra Mundial?
1109,PERSON,it,Chi era il Presidente degli Stati Uniti durante la Seconda Guerra Mondiale?
1110,PERSON,nl,Wie was president van de Verenigde Staten tijdens de Tweede Wereldoorlog?
1111,PERSON,en,Who was the president of the United States during World War II?
1112,DATE,es,¿Cuándo se disolvió la ex Yugoslavia?
1113,DATE,it,Quando si è dissolta l'ex Yugoslavia?
1114,DATE,nl,Wanneer viel het voormalige Joegoslavië uiteen?
1115,DATE,en,When was the ex-Yugoslavia dissolved?
1116,MEASURE,es,¿Cuánto dura un embarazo humano?
1117,MEASURE,it,Quanto dura una gravidanza umana?
1118,MEASURE,nl,Hoe lang duurt een zwangerschap bij mensen?
1119,MEASURE,en,How long does a human pregnancy last?
1120,ORGANIZATION,es,¿Quién encabeza la rebelión de Chiapas?
1121,ORGANIZATION,it,Chi è a capo della rivolta del Chiapas?
1122,ORGANIZATION,nl,Welke groep organiseert de opstand in Chiapas?
1123,ORGANIZATION,en,Who is the head of the Chiapas revolt?
1124,DATE,es,¿En qué mes florecen los almendros?
1125,DATE,it,In quale mese fioriscono gli alberi di mandorlo?
1126,DATE,nl,In welke maand bloeien de amandelbomen?
1127,DATE,en,During what month do almond trees blossom?
1128,LOCATION,es,¿En qué lugar de Argentina hubo un brote de cólera?
1129,LOCATION,it,In quale zona dell'Argentina scoppiò un'epidemia di colera?
1130,LOCATION,nl,Waar in Argentinië was er een uitbraak van cholera?
1131,LOCATION,en,Where in Argentina was there a cholera outbreak?
1132,OBJECT,es,¿De qué fruta procede el vino?
1133,OBJECT,it,Da quale frutto si ricava il vino?
1134,OBJECT,nl,Van welk fruit wordt wijn gemaakt?
1135,OBJECT,en,What fruit does wine come from?
1136,MEASURE,es,¿Cuántos kilómetros recorre la mariposa Monarca?
1137,MEASURE,it,Quanti chilometri può percorrere la farfalla Monarca?
1138,MEASURE,nl,Hoeveel kilometer kan de Monarch koningsvlinder afleggen?
1139,MEASURE,en,How many kilometers can the monarch butterfly travel?
1140,PERSON,es,¿Quién inventó la radio?
1141,PERSON,it,Chi ha inventato la radio?
1142,PERSON,nl,Wie is de uitvinder van de radio?
1143,PERSON,en,Who invented the radio?
1144,DATE,es,¿Cuándo se levantó el muro de Berlín?
1145,DATE,it,Quando è stato costruito il Muro di Berlino?
1146,DATE,nl,Wanneer is de berlijnse Muur gebouwd?
1147,DATE,en,When was the Berlin Wall built?
1148,MEASURE,es,¿Cuál es el récord de salto de altura femenino?
1149,MEASURE,it,Qual è il record di salto in alto femminile?
1150,MEASURE,nl,Wat is het wereldrecord hoogspringen voor dames?
1151,MEASURE,en,What is the record for female high jump?
1152,MEASURE,es,¿A qué distancia está la Peninsula Ibérica de África?
1153,MEASURE,it,A quale distanza si trova la Penisola Iberica rispetto all'Africa?
1154,MEASURE,nl,Hoe ver is het Iberisch schiereiland van Afrika?
1155,MEASURE,en,How far is the Iberian Peninsula from Africa?
1156,PERSON,es,¿Quién compuso el Concierto de Aranjuez?
1157,PERSON,it,"Chi è il compositore de ""Concerto d'Aranjuez""?"
1158,PERSON,nl,"Wie is de componist van het ""Concierto d'Aranjuez""?"
1159,PERSON,en,"Who composed the ""Concierto de Aranjuez""?"
1160,OBJECT,es,¿Qué edificios emblemáticos se están construyendo en el nuevo Berlín?
1161,OBJECT,it,Quali edifici emblematici si stanno costruendo ai nostri giorni a Berlino?
1162,OBJECT,nl,Welke representative gebouwen worden er in het moderne Berlijn gebouwd?
1163,OBJECT,en,What emblematic buildings are being built in present-day Berlin?
1164,OTHER,es,¿Cuál es la famosa ley que establece medidas discriminatorias positivas para el uso del francés?
1165,OTHER,it,Qual è la famosa legge che stabilisce misure discriminatorie in favore dell'uso della lingua francese?
1166,OTHER,nl,Hoe heet de beroemde wet ter bevordering van het gebruik van de Franse taal?
1167,OTHER,en,What is the famous law that establishes positive discriminatory measures for the use of the French language?
1168,LOCATION,es,¿Qué paises de la UE  han visto rebajada su cuota de merluza en las últimas negociaciones?
1169,LOCATION,it,Quali paesi dell'Unione Europea hanno subito un ribasso nelle loro quote di nasello durante l'ultima trattativa?
1170,LOCATION,nl,Welke EU landen kregen een reductie van hun kabeljauwquota in de recente onderhandelingen?
1171,LOCATION,en,What EU countries suffered a reduction in their hake quota at the last negotiations?
1172,LOCATION,es,"¿En qué ciudad se encuetra el barrio ""Yordan""?"
1173,LOCATION,it,"In quale città si trova il quartiere residenziale ""Yordan""?"
1174,LOCATION,nl,"In welke stad ligt de woonwijk ""Yordan""?"
1175,LOCATION,en,"In what city is the residential district ""Yordan"" located?"
1176,MEASURE,es,¿Cuál es el consumo medio de alcohol por habitante en España?
1177,MEASURE,it,Qual è il consumo medio di alcool per persona in Spagna?
1178,MEASURE,nl,Hoeveel alcohol gebruikt men gemiddeld per persoon in Spanje?
1179,MEASURE,en,What is the average amount of alcohol consumed per person in Spain?
1180,MEASURE,es,¿Qué facturación tiene IBM?
1181,MEASURE,it,A quanto ammonta il giro d'affari dell'IBM?
1182,MEASURE,nl,Wat is IBM's jaaromzet?
1183,MEASURE,en,What is IBM's turnover?
1184,DATE,es,¿En qué año recibió el premio nobel Octavio Paz?
1185,DATE,it,In quale anno Octavio Paz ha ricevuto il Premio Nobel?
1186,DATE,nl,In welk jaar won Octavio Paz de Nobelprijs?
1187,DATE,en,What year was Octavio Paz awarded the Nobel Prize?
1188,MEASURE,es,¿Qué gastos anuales supondrá el mantenimiento de la Estación Espacial Internacional?
1189,MEASURE,it,Quale sarà il costo annuale per il mantenimento della Stazione Spaziale Internazionale?
1190,MEASURE,nl,Hoeveel zal het onderhoud van het Internationale Ruitestation jaarlijks kosten?
1191,MEASURE,en,What will the annual maintenance cost of the International Space Station be?
1192,MEASURE,es,¿Qué pérdidas anuales supone la piratería en software?
1193,MEASURE,it,A quanto ammonta la perdita annuale causata dalla pirateria informatica?
1194,MEASURE,nl,Hoeveel inkomsten worden gederfd door software-piraterij?
1195,MEASURE,en,What are the annual losses generated from software piracy?
1196,OTHER,es,¿A qué corresponden las siglas BSA?
1197,OTHER,it,A cosa corrisponde la sigla BSA?
1198,OTHER,nl,Waar staat de afkorting BSA voor?
1199,OTHER,en,What does BSA stand for?
1200,PERSON,nl,Wie is de leider van Sinn Fein?
1201,PERSON,it,Chi è il capo del Sinn Fein?
1202,PERSON,es,¿Quién es el líder del Sinn Fein?
1203,PERSON,en,Who is the leader of Sinn Fein?
1204,MEASURE,nl,Hoeveel kinderen heeft Anthony Quinn?
1205,MEASURE,it,Quanti figli ha Anthony Quinn?
1206,MEASURE,es,¿Cuántos hijos tiene Anthony Quinn?
1207,MEASURE,en,How many children does Anthony Quinn have?
1208,LOCATION,nl,Waar ligt het Timan Pechora bassin?
1209,LOCATION,it,Dove si trova il bacino di Timan Pechora?
1210,LOCATION,es,¿Dónde se encuentra la cuenca de Timan Pechora?
1211,LOCATION,en,Where is the Timan Pechora basin?
1212,LOCATION,nl,Noem een Japanse stad die door een aardbeving is getroffen.
1213,LOCATION,it,Nomina una città giapponese colpita da un terremoto.
1214,LOCATION,es,Dar el nombre de una ciudad japonesa que haya sido castigada por un terremoto.
1215,LOCATION,en,Name a Japanese city hit by an earthquake.
1216,DATE,nl,Wanneer is Frank Rijkaard geboren?
1217,DATE,it,Quando è nato Frank Rijkaard?
1218,DATE,es,¿Cuándo nació Frank Rijkaard?
1219,DATE,en,When was Frank Rijkaard born?
1220,LOCATION,nl,Waar ligt Requena?
1221,LOCATION,it,Dove si trova Requena?
1222,LOCATION,es,¿Dónde está Requena?
1223,LOCATION,en,Where is Requena?
1224,PERSON,nl,"Wie zijn de ""McLibel 2""?"
1225,PERSON,it,"Chi sono i ""McLibel 2""?"
1226,PERSON,es,"¿Quiénes son los ""McLibel 2""?"
1227,PERSON,en,"Who are the ""McLibel 2""?"
1228,MEASURE,nl,Hoeveel mensen verdronken toen de veerboot Estonia kapseisde en zonk?
1229,MEASURE,it,"Quante persone affogarono quando l' ""Estonia"" si ribaltò ed affondò?"
1230,MEASURE,es,"¿Cuántas personas murieron ahogadas al zozobrar y hundirse el ""Estonia""?"
1231,MEASURE,en,How many people drowned when the Estonia capsized and sunk?
1232,ORGANIZATION,nl,Waar staat OCA voor?
1233,ORGANIZATION,it,Che cosa significa la sigla OCA?
1234,ORGANIZATION,es,¿Qué significa OCA?
1235,ORGANIZATION,en,What does OCA stand for?
1236,MEASURE,nl,Hoeveel kunstvoorwerpen worden jaarlijks gestolen in Europa?
1237,MEASURE,it,Quante opere d'arte vengono rubate ogni anno in Europa?
1238,MEASURE,es,¿Cuántos objetos de arte son robados en Europa cada año?
1239,MEASURE,en,How many art objects are stolen annually in Europe?
1240,MEASURE,nl,Hoe oud is Brian Eno?
1241,MEASURE,it,Quanti anni ha Brian Eno?
1242,MEASURE,es,¿Cuántos años tiene Brian Eno?
1243,MEASURE,en,How old is Brian Eno?
1244,MEASURE,nl,Hoeveel is tien peso waard?
1245,MEASURE,it,Quanto valgono dieci pesos?
1246,MEASURE,es,¿Cuánto valen 10 pesos?
1247,MEASURE,en,How much are ten pesos worth?
1248,PERSON,nl,Wie is de leider van de Bosnische Serviërs?
1249,PERSON,it,Chi è il capo dei Serbi di Bosnia?
1250,PERSON,es,¿Quién es el líder de los serbios de Bosnia?
1251,PERSON,en,Who is the leader of the Bosnian Serbs?
1252,ORGANIZATION,nl,Van welke voetbalclub is Jesus Gil y Gil voorzitter?
1253,ORGANIZATION,it,Jesus Gil y Gil è il presidente di quale squadra di calcio?
1254,ORGANIZATION,es,¿De qué club de fútbol es presidente Jesús Gil?
1255,ORGANIZATION,en,Jesus Gil y Gil is the president of which football club?
1256,OTHER,nl,Noem een film waarin Audrey Hepburn de hoofdrol speelde.
1257,OTHER,it,Nomina un film interpretato da Audrey Hepburn.
1258,OTHER,es,Dar el nombre de una película protagonizada por Audrey Hepburn.
1259,OTHER,en,Name a movie in which Audrey Hepburn starred.
1260,ORGANIZATION,nl,Hoe heet de opvolger van de GATT?
1261,ORGANIZATION,it,Come si chiama il successore del GATT?
1262,ORGANIZATION,es,¿Cómo se llama el sucesor del GATT?
1263,ORGANIZATION,en,What is the successor to GATT called?
1264,MEASURE,nl,Hoeveel inwoners telt Shanghai?
1265,MEASURE,it,Quanti abitanti ha Shanghai?
1266,MEASURE,es,¿Cuántos habitantes tiene Shanghai?
1267,MEASURE,en,How many inhabitants does Shanghai have?
1268,ORGANIZATION,nl,Welke oliemaatschappij is eigenaar van de Brent Spar?
1269,ORGANIZATION,it,A quale compagnia petrolifera appartiene la Brent Spar?
1270,ORGANIZATION,es,¿A qué compañía petrolera pertenece Brent Spar?
1271,ORGANIZATION,en,Which oil company owns the Brent Spar?
1272,PERSON,nl,Wie is de oprichter van de Chippendale-stripteaseshow?
1273,PERSON,it,Chi ha fondato lo spettacolo di spogliarello Chippendale?
1274,PERSON,es,¿Quién fue el creador del espectáculo de striptease Chippendale?
1275,PERSON,en,Who founded the Chippendale striptease show?
1276,OTHER,nl,Noem een eigenschap van ammoniakgas.
1277,OTHER,it,Nomina una proprietà del gas ammoniaca.
1278,OTHER,es,Nombrar algunas propiedades del gas amoníaco.
1279,OTHER,en,Name a property of ammonia gas.
1280,LOCATION,nl,Waar ligt het Belgische Eynaten?
1281,LOCATION,it,Dove si trova la città belga di Eynaten?
1282,LOCATION,es,¿Dónde está situada la ciudad belga de Eynaten?
1283,LOCATION,en,Where is the Belgian town of Eynaten?
1284,OTHER,nl,Hoe kwam Ayrton Senna om het leven?
1285,OTHER,it,Come è morto Ayrton Senna?
1286,OTHER,es,¿Cómo murió Ayrton Senna?
1287,OTHER,en,How did Ayrton Senna die?
1288,PERSON,nl,Wie was de eerste president van Indonesië?
1289,PERSON,it,Chi è stato il primo presidente dell'Indonesia?
1290,PERSON,es,¿Quién fue el primer presidente de Indonesia?
1291,PERSON,en,Who was the first president of Indonesia?
1292,LOCATION,nl,Wat is de Argentijnse naam voor de Falklands?
